Row,Column,Brightness,Concentration,InInterval
1,1,40.21,3.81,true
1,2,37.89,3.73,true
1,3,41.98,3.87,true
1,4,34.56,3.60,true
1,5,35.85,3.65,true
1,6,34.88,3.61,true
1,7,35.87,3.65,true
1,8,39.19,3.77,true
1,9,37.16,3.70,true
1,10,37.61,3.71,true
1,11,43.32,3.91,true
1,12,50.63,4.14,true
1,13,51.89,4.18,true
1,14,46.04,4.00,true
1,15,33.78,3.57,true
2,1,41.58,3.85,true
2,2,53.55,4.23,true
2,3,52.66,4.20,true
2,4,41.36,3.85,true
2,5,37.96,3.73,true
2,6,35.69,3.64,true
2,7,37.22,3.70,true
2,8,48.42,4.08,true
2,9,44.11,3.94,true
2,10,41.01,3.83,true
2,11,42.41,3.88,true
2,12,47.54,4.05,true
2,13,39.73,3.79,true
2,14,34.13,3.59,true
2,15,27.49,3.32,true
3,1,55.95,4.29,true
3,2,52.04,4.19,true
3,3,42.38,3.88,true
3,4,40.22,3.81,true
3,5,33.58,3.56,true
3,6,39.79,3.79,true
3,7,40.99,3.83,true
3,8,41.67,3.86,true
3,9,42.66,3.89,true
3,10,36.47,3.67,true
3,11,42.40,3.88,true
3,12,42.88,3.90,true
3,13,42.19,3.88,true
3,14,38.28,3.74,true
3,15,45.64,3.99,true
4,1,59.62,4.39,true
4,2,52.86,4.21,true
4,3,48.65,4.08,true
4,4,44.60,3.96,true
4,5,33.05,3.54,true
4,6,39.43,3.78,true
4,7,40.72,3.83,true
4,8,36.76,3.68,true
4,9,47.88,4.06,true
4,10,65.49,4.53,false
4,11,40.46,3.82,true
4,12,42.32,3.88,true
4,13,51.09,4.16,true
4,14,39.36,3.78,true
4,15,29.65,3.41,true
5,1,58.06,4.35,true
5,2,50.13,4.13,true
5,3,40.47,3.82,true
5,4,39.01,3.76,true
5,5,31.43,3.48,true
5,6,34.84,3.61,true
5,7,38.49,3.75,true
5,8,39.75,3.79,true
5,9,43.32,3.91,true
5,10,46.73,4.02,true
5,11,41.28,3.84,true
5,12,39.09,3.77,true
5,13,43.27,3.91,true
5,14,32.57,3.53,true
5,15,34.98,3.62,true
6,1,62.88,4.47,false
6,2,56.35,4.31,true
6,3,50.83,4.15,true
6,4,39.78,3.79,true
6,5,36.57,3.68,true
6,6,30.91,3.46,true
6,7,40.50,3.82,true
6,8,44.26,3.94,true
6,9,44.42,3.95,true
6,10,37.68,3.72,true
6,11,37.23,3.70,true
6,12,34.08,3.58,true
6,13,31.94,3.50,true
6,14,31.29,3.48,true
6,15,39.56,3.78,true
7,1,59.13,4.38,true
7,2,51.62,4.17,true
7,3,44.11,3.94,true
7,4,46.52,4.02,true
7,5,50.05,4.13,true
7,6,42.12,3.87,true
7,7,48.70,4.09,true
7,8,45.36,3.98,true
7,9,37.71,3.72,true
7,10,35.37,3.63,true
7,11,40.41,3.81,true
7,12,30.73,3.45,true
7,13,29.30,3.40,true
7,14,28.36,3.36,true
7,15,39.05,3.77,true
8,1,53.47,4.23,true
8,2,51.87,4.18,true
8,3,53.85,4.24,true
8,4,47.87,4.06,true
8,5,41.09,3.84,true
8,6,41.99,3.87,true
8,7,39.03,3.77,true
8,8,37.19,3.70,true
8,9,36.88,3.69,true
8,10,41.31,3.85,true
8,11,35.48,3.64,true
8,12,34.36,3.59,true
8,13,34.70,3.61,true
8,14,27.59,3.33,true
8,15,38.52,3.75,true
9,1,53.13,4.22,true
9,2,57.59,4.34,true
9,3,45.05,3.97,true
9,4,38.19,3.74,true
9,5,35.06,3.62,true
9,6,45.46,3.98,true
9,7,44.25,3.94,true
9,8,33.56,3.56,true
9,9,37.18,3.70,true
9,10,37.61,3.71,true
9,11,32.65,3.53,true
9,12,48.46,4.08,true
9,13,49.21,4.10,true
9,14,46.16,4.01,true
9,15,30.77,3.46,true
10,1,55.64,4.29,true
10,2,49.67,4.11,true
10,3,46.86,4.03,true
10,4,42.94,3.90,true
10,5,32.73,3.53,true
10,6,41.51,3.85,true
10,7,49.20,4.10,true
10,8,40.96,3.83,true
10,9,38.36,3.74,true
10,10,27.98,3.34,true
10,11,30.93,3.46,true
10,12,48.42,4.08,true
10,13,42.87,3.90,true
10,14,44.35,3.95,true
10,15,41.02,3.84,true
11,1,43.31,3.91,true
11,2,41.09,3.84,true
11,3,40.34,3.81,true
11,4,41.99,3.87,true
11,5,39.65,3.79,true
11,6,37.73,3.72,true
11,7,43.48,3.92,true
11,8,39.18,3.77,true
11,9,46.19,4.01,true
11,10,52.02,4.18,true
11,11,47.29,4.04,true
11,12,39.46,3.78,true
11,13,44.06,3.94,true
11,14,34.15,3.59,true
11,15,34.84,3.61,true
12,1,55.80,4.29,true
12,2,46.32,4.01,true
12,3,49.44,4.11,true
12,4,44.71,3.96,true
12,5,31.21,3.47,true
12,6,31.82,3.50,true
12,7,35.14,3.62,true
12,8,43.14,3.91,true
12,9,77.45,4.76,false
12,10,113.20,5.02,false
12,11,78.18,4.77,false
12,12,30.45,3.44,true
12,13,29.48,3.40,true
12,14,33.25,3.55,true
12,15,35.81,3.65,true
13,1,44.14,3.94,true
13,2,43.66,3.92,true
13,3,36.84,3.69,true
13,4,36.06,3.66,true
13,5,32.54,3.52,true
13,6,31.07,3.47,true
13,7,32.87,3.54,true
13,8,36.74,3.68,true
13,9,85.31,4.87,false
13,10,209.58,2.55,false
13,11,213.50,2.35,false
13,12,44.49,3.95,true
13,13,24.72,3.21,false
13,14,32.46,3.52,true
13,15,37.22,3.70,true
14,1,50.29,4.13,true
14,2,46.84,4.03,true
14,3,40.89,3.83,true
14,4,36.19,3.66,true
14,5,34.79,3.61,true
14,6,26.34,3.28,true
14,7,43.80,3.93,true
14,8,36.72,3.68,true
14,9,42.60,3.89,true
14,10,114.12,5.02,false
14,11,158.01,4.45,true
14,12,42.59,3.89,true
14,13,36.20,3.66,true
14,14,33.42,3.56,true
14,15,39.80,3.79,true
15,1,46.88,4.03,true
15,2,43.78,3.93,true
15,3,42.18,3.88,true
15,4,41.11,3.84,true
15,5,41.81,3.86,true
15,6,33.39,3.56,true
15,7,42.13,3.87,true
15,8,35.40,3.63,true
15,9,44.61,3.96,true
15,10,42.36,3.88,true
15,11,38.26,3.74,true
15,12,38.94,3.76,true
15,13,33.01,3.54,true
15,14,37.60,3.71,true
15,15,32.42,3.52,true
